,피부고민,정도,성분명,성분 설명
101,안티에이징,훌륭함,로즈힙오일,"무향의 연화성 식물 오일로, 항산화 특성이 있으며 피부에 유익한 지방산의 풍부한 공급원이다."
102,안티에이징,훌륭함,로터스씨추출물,"진정 작용, 항산화 작용을 한다."
103,안티에이징,훌륭함,루테인,항산화 특성이 있는 카로티노이드이다.
104,안티에이징,훌륭함,루틴,다양한 식물에서 추출한 바이오플라보노이드. 화장품에서 항산화제로 쓰인다.
105,안티에이징,훌륭함,루핀,"콩과 식물로, 항산화 특성을 가진 이소플라본의 공급원이다."
106,안티에이징,훌륭함,루핀오일,콩과 식물인 루핀의 추출물이다. 연화 및 항산화 특성이 있다.
107,안티에이징,훌륭함,리놀레익애씨드,"불포화 지방산. 화장품에서 유연제, 농후제로 쓰인다."
108,안티에이징,훌륭함,린덴꽃추출물,린덴의 주요 구성요소는 플라보노이드와 글리코사이드이다.
109,안티에이징,훌륭함,마그네슘아스코빌포스페이트,"안정적인 형태의 비타민 C. 미백, 장벽 강화, 수분 공급 효과가 있다."
110,안티에이징,훌륭함,마누카가지/잎오일,
111,안티에이징,훌륭함,마누카꿀,마누카꿀은 많은 피부 관리 제품에서 발견되는 꿀의 한 유형이다.
112,안티에이징,훌륭함,마누카오일,뉴질랜드 티트리(Trea tree)에서 유래한 추출물이다. 오일은 호주 티트리(Tea tree)와 비슷하다.
113,안티에이징,훌륭함,마데카소사이드,병풀추출물의 네 가지 주요 생물 활성 화합물 중 하나.
114,안티에이징,훌륭함,마룰라,"무향의 식물성 오일. 팔미틱애씨드, 스테아릭애씨드를 포함한 피부에 좋은 지방산의 풍부한 공급원이다."
115,안티에이징,훌륭함,마룰라씨오일,
116,안티에이징,훌륭함,마시멜로뿌리추출물,
117,안티에이징,훌륭함,마테,예르바마테(Yerba mate)로도 알려진 이 식물 추출물은 피부 진정 및 항산화 특성을 가지고 있다.
118,안티에이징,훌륭함,마테잎추출물,피부 진정 및 항산화 특성을 가지고 있는 식물 성분이다.
119,안티에이징,훌륭함,마테추출물,"식물 성분으로, 피부 진정 및 항산화 효과가 있다."
